#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
50764	9487915	5317058	6387	0	168	99283	-41
50765	9487757	5317046	6331	0	168	99277	-36
50766	9487593	5317033	6361	0	169	99281	-39
50767	9487431	5317021	6354	0	169	99284	-42
50768	9487268	5317008	6350	0	169	99284	-42
50769	9487112	5316995	6335	0	169	99283	-41
50770	9486960	5316982	6311	0	169	99283	-41
50771	9486815	5316970	5843	0	169	99289	-46
50772	9486675	5316957	5681	0	169	99284	-42
50773	9486538	5316945	5459	0	169	99297	-53
50774	9486406	5316933	5105	0	169	99306	-61
50775	9486279	5316922	4668	0	169	99306	-61
50776	9486160	5316911	4115	0	169	99308	-62
50777	9486053	5316902	3557	0	169	99308	-62
50778	9485958	5316894	3461	0	169	99311	-65
50779	9485870	5316886	3272	0	169	99307	-62
50780	9485785	5316880	2594	0	169	99306	-61
50781	9485698	5316875	2252	0	169	99311	-65
50782	9485614	5316871	2198	0	169	99309	-63
50783	9485541	5316868	1840	0	169	99312	-66
50784	9485504	5316865	1837	0	169	99309	-63
50785	9485504	5316865	1837	0	170	99308	-62
50786	9485539	5316857	2407	0	170	99312	-66
50787	9485611	5316854	2533	0	170	99312	-66
50788	9485697	5316852	2420	0	170	99325	-77
50789	9485788	5316850	1852	0	170	99319	-72
50790	9485872	5316849	1250	0	170	99322	-74
50791	9485938	5316848	1033	0	170	99313	-67
50792	9485980	5316846	1027	0	170	99315	-68
50793	9485998	5316844	1127	0	170	99321	-73
50794	9485995	5316842	1222	0	170	99321	-73
50795	9485978	5316840	1192	0	170	99315	-68
50796	9485958	5316838	1140	0	170	99310	-64
50797	9485946	5316836	1048	0	170	99318	-71
50798	9485950	5316833	1170	0	170	99314	-68
50799	9485971	5316832	755	0	170	99313	-67
50800	9486002	5316831	22	0	171	99305	-60
50801	9486030	5316830	11	0	171	99275	-34
50802	9486046	5316830	7	0	171	99270	-30
50803	9486052	5316830	3	0	171	99268	-28
50804	9486052	5316831	5	0	171	99252	-15
50805	9486050	5316831	0	0	171	99276	-35
50806	9486049	5316831	0	0	171	99266	-27
50807	9486049	5316831	0	0	171	99271	-31
50808	9486049	5316831	0	0	171	99266	-27
50809	9486049	5316831	0	0	171	99278	-37
50810	9486049	5316831	0	0	171	99272	-32
50811	9486049	5316831	0	0	171	99265	-26
50812	9486049	5316831	0	0	172	99275	-34
50813	9486049	5316831	0	0	172	99272	-32
50814	9486049	5316831	0	0	172	99273	-33
50815	9486049	5316831	0	0	172	99279	-38
50816	9486049	5316831	0	0	172	99273	-33
50817	9486049	5316831	0	0	172	99274	-34
50818	9486049	5316831	0	0	172	99273	-33
50819	9486049	5316831	0	0	172	99277	-36
50820	9486049	5316831	0	0	172	99277	-36
50821	9486049	5316831	0	0	172	99275	-34
50822	9486049	5316831	0	0	173	99275	-34
50823	9486049	5316831	0	0	173	99274	-34
50824	9486049	5316831	0	0	173	99272	-32
50825	9486049	5316831	0	0	173	99277	-36
50826	9486049	5316831	0	0	173	99276	-35
50827	9486049	5316831	0	0	173	99277	-36
50828	9486049	5316831	0	0	173	99269	-29
50829	9486049	5316831	0	0	173	99275	-34
50830	9486049	5316831	0	0	173	99269	-29
50831	9486049	5316831	0	0	173	99268	-28
50832	9486049	5316831	0	0	174	99275	-34
50833	9486049	5316831	0	0	174	99268	-28
50834	9486049	5316831	0	0	174	99270	-30
50835	9486049	5316831	0	0	174	99283	-41
50836	9486049	5316831	0	0	174	99274	-34
50837	9486049	5316831	0	0	174	99276	-35
50838	9486049	5316831	0	0	174	99275	-34
50839	9486049	5316831	0	0	174	99274	-34
50840	9486049	5316831	0	0	174	99276	-35
50841	9486049	5316831	0	0	174	99275	-34
50842	9486049	5316831	0	0	175	99280	-39
50843	9486049	5316831	0	0	175	99280	-39
50844	9486049	5316831	0	0	175	99283	-41
50845	9486049	5316831	0	0	175	99279	-38
50846	9486049	5316831	0	0	175	99276	-35
50847	9486049	5316831	0	0	175	99278	-37
50848	9486049	5316831	0	0	175	99275	-34
50849	9486049	5316831	0	0	175	99277	-36
50850	9486049	5316831	0	0	175	99277	-36
50851	9486049	5316831	0	0	175	99277	-36
